Accession ID	Collection date	Submission date	Location
EPI_ISL_11922837	2021-12-22	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11922851	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11922893	2021-12-22	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11922937	2021-12-22	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11922962	2021-12-21	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11922968	2021-12-17	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11922983	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11923000	2021-12-21	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11923049	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11923073	2021-12-21	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11923091	2021-12-20	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11923128	2021-12-22	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11923130	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11923708	2021-12-17	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11923946	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11923985	2021-12-18	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11924137	2021-12-17	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11924168	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11924192	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11924289	2021-12-17	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11924329	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11924452	2021-12-18	2022-04-11	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11924488	2021-12-16	2022-04-11	Europe / France / Provence-Alpes-Cote d’Azur / Alpes-Maritimes
EPI_ISL_11924499	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11924538	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11924550	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11924707	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11925033	2021-12-21	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11925040	2021-12-18	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11926596	2021-12-16	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11926600	2021-12-16	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11926627	2021-12-16	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11926632	2021-12-16	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11926886	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11927208	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11927255	2021-12-16	2022-04-11	Europe / France / Bourgogne-Franche-Comte / Saone-et-Loire
EPI_ISL_11927278	2021-12-16	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11927304	2021-12-16	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11927315	2021-12-16	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11927336	2021-12-16	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11928135	2021-12-17	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11928139	2021-12-17	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11928178	2021-12-17	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11928191	2021-12-17	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11928306	2021-12-15	2022-04-11	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_11928345	2021-12-17	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11928409	2021-12-16	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11928974	2021-12-16	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11929148	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11929157	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11929194	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11929211	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11929306	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11929452	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11929472	2021-12-15	2022-04-11	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_12023829	2021-12-21	2022-04-13	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_12024171	2021-12-21	2022-04-13	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_12024657	2021-12-22	2022-04-13	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_12024951	2021-12-21	2022-04-13	Europe / France / Nouvelle-Aquitaine / Vienne
EPI_ISL_12054740	2021-12-27	2022-04-14	Europe / France / Provence-Alpes-Cote d’Azur / Var
EPI_ISL_12063022	2021-12-20	2022-04-15	Europe / France / Nouvelle-Aquitaine / Landes
EPI_ISL_12063096	2021-12-20	2022-04-15	Europe / France / Auvergne-Rhone-Alpes / Puy-de-Dome
EPI_ISL_12063105	2021-12-20	2022-04-15	Europe / France / Auvergne-Rhone-Alpes / Puy-de-Dome
