Accession ID	Collection date	Submission date	Location
EPI_ISL_9127125	2021-12-17	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9127124	2021-12-17	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9127123	2021-12-17	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9127121	2021-12-17	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9127119	2021-12-17	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9127111	2021-12-19	2022-01-26	Europe / France / Ile-de-France
EPI_ISL_9125890	2022-01-02	2022-01-26	Europe / France / Normandie
EPI_ISL_9125864	2022-01-03	2022-01-26	Europe / France / Normandie
EPI_ISL_9125579	2022-01-01	2022-01-26	Europe / France / Normandie
EPI_ISL_9123925	2021-12-20	2022-01-26	Europe / France / Pays de la Loire / Chaumes En Retz
EPI_ISL_9123918	2021-12-20	2022-01-26	Europe / France / Pays de la Loire / Trelaze
EPI_ISL_9123895	2021-12-20	2022-01-26	Europe / France / Pays de la Loire / Cholet
EPI_ISL_9123875	2021-12-20	2022-01-26	Europe / France / Ile-de-France / Malakoff
EPI_ISL_9123873	2021-12-20	2022-01-26	Europe / France / Ile-de-France / Malakoff
EPI_ISL_9089742	2021-12-29	2022-01-25	Europe / France / Ile-de-France / Neuilly-Sur-Seine
EPI_ISL_9087454	2021-12-27	2022-01-25	Europe / France / Bretagne / Vannes
EPI_ISL_9087447	2021-12-27	2022-01-25	Europe / France / Bretagne / Vannes
EPI_ISL_9087420	2021-12-27	2022-01-25	Europe / France / Hauts-de-France / Wasquehal
EPI_ISL_9087051	2021-12-29	2022-01-25	Europe / France / Ile-de-France / Clamart
EPI_ISL_9083921	2021-12-20	2022-01-25	Europe / France / Centre-Val de Loire
EPI_ISL_9079938	2021-12-27	2022-01-25	Europe / France / Grand Est
EPI_ISL_9036513	2021-12-27	2022-01-24	Europe / France / Grand Est
EPI_ISL_9016161	2022-01-03	2022-01-24	Europe / France / Centre-Val de Loire / Orleans
EPI_ISL_9016099	2022-01-03	2022-01-24	Europe / France / Hauts-de-France / Creil
EPI_ISL_9015961	2022-01-03	2022-01-24	Europe / France / Pays de la Loire / Saint-Gilles-Croix-De-Vie
EPI_ISL_9002728	2021-12-31	2022-01-23	Europe / France / Occitanie / Nimes
EPI_ISL_8937713	2022-01-02	2022-01-21	Europe / France / Normandie
EPI_ISL_8932429	2022-01-10	2022-01-21	Europe / France / Ile-de-France
EPI_ISL_8932400	2021-12-27	2022-01-21	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_8932387	2021-12-27	2022-01-21	Europe / France / Grand Est
EPI_ISL_8932380	2021-12-27	2022-01-21	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_8932364	2022-01-03	2022-01-21	Europe / France / Grand Est
EPI_ISL_8932332	2021-12-27	2022-01-21	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_8932202	2021-12-27	2022-01-21	Europe / France / Normandie
EPI_ISL_8931991	2022-01-03	2022-01-21	Europe / France / Ile-de-France
EPI_ISL_8931880	2021-12-20	2022-01-21	Europe / France / Normandie
EPI_ISL_8931879	2021-12-27	2022-01-21	Europe / France / Grand Est
EPI_ISL_8931848	2021-12-27	2022-01-21	Europe / France / Grand Est
EPI_ISL_8931845	2022-01-03	2022-01-21	Europe / France / Ile-de-France
EPI_ISL_8931840	2021-12-27	2022-01-21	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_8931735	2021-12-27	2022-01-21	Europe / France / Bourgogne-Franche-Comte
EPI_ISL_8931732	2022-01-03	2022-01-21	Europe / France / Ile-de-France
EPI_ISL_8926213	2021-12-27	2022-01-21	Europe / France / Ile-de-France / Lisses
EPI_ISL_8926198	2021-12-27	2022-01-21	Europe / France / Hauts-de-France / Henin Beaumont
EPI_ISL_8926197	2021-12-27	2022-01-21	Europe / France / Hauts-de-France / Henin Beaumont
EPI_ISL_8925711	2021-12-27	2022-01-21	Europe / France / Ile-de-France / Lisses
EPI_ISL_8925698	2021-12-27	2022-01-21	Europe / France / Ile-de-France / Lisses
EPI_ISL_8875893	2021-12-15	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8874825	2021-12-22	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8874817	2021-12-21	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8874816	2021-12-21	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8874794	2021-12-21	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8874095	2021-12-30	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8874081	2021-12-30	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8873964	2022-01-05	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8873695	2022-01-06	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8873693	2022-01-06	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8873673	2021-12-28	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8871975	2021-12-21	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8871956	2021-12-21	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8871046	2021-12-15	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8869449	2022-01-01	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
EPI_ISL_8869428	2021-12-31	2022-01-19	Europe / France / Auvergne-Rhone-Alpes / Grenoble
